 janela  throughput  delay  power
 10  1,764  160  11,028
 10  1,784  157  11,363
 10  1,758  166  10,592
 10  1,782  165  10,801
 10  1,779  163  10,917
 10  1,787  166  10,765
 10  1,77  161  10,996
 10  1,83  160  11,434
 10  1,776  161  11,031
 10  1,773  162  10,942
 10  1,771  168  10,542
 10  1,808  155  11,662
 10  1,802  170  10,602
 10  1,765  168  10,503
 10  1,76  161  10,932
 10  1,755  172  10,204
 10  1,824  160  11,402
 10  1,787  152  11,757
 10  1,758  163  10,783
 10  1,773  157  11,295
 media  1,7803  162,35  10,97755
 20  3,051  280  10,897
 20  3,037  275  11,042
 20  3,018  276  10,935
 20  3,023  274  11,032
 20  3,15  280  11,249
 20  3,185  279  11,414
 20  3,186  281  11,337
 20  3,183  282  11,287
 20  3,065  276  11,105
 20  3,069  279  11
 20  3,058  272  11,243
 20  3,097  274  11,303
 20  3,079  273  11,279
 20  3,08  277  11,12
 20  2,894  278  10,411
 20  3,056  277  11,032
 20  3,079  280  10,997
 20  3,038  274  11,088
 20  3,046  279  10,919
 20  3,04  278  10,936
 media  3,0717  277,2  11,0813
 30  3,862  405  9,535
 30  3,844  405  9,492
 30  3,845  408  9,424
 30  3,865  403  9,59
 30  3,97  409  9,707
 30  3,974  410  9,693
 30  3,986  410  9,721
 30  3,983  399  9,982
 30  3,921  409  9,586
 30  3,901  406  9,608
 30  3,849  406  9,481
 30  3,848  408  9,432
 30  3,88  406  9,558
 30  3,818  402  9,497
 30  3,785  408  9,277
 30  3,899  396  9,847
 30  3,869  404  9,578
 30  3,959  391  10,125
 30  3,983  406  9,81
 30  3,97  398  9,975
 media  3,90055  404,45  9,6459
 40  4,343  515  8,432
 40  4,331  510  8,493
 40  4,34  502  8,645
 40  4,356  513  8,491
 40  4,451  515  8,643
 40  4,452  518  8,595
 40  4,441  514  8,64
 40  4,448  516  8,621
 40  4,402  513  8,581
 40  4,397  515  8,537
 40  4,4  498  8,835
 40  4,395  514  8,551
 40  4,433  516  8,591
 40  4,436  519  8,546
 40  4,445  518  8,582
 40  4,469  518  8,627
 40  4,465  517  8,636
 40  4,452  520  8,561
 40  4,435  519  8,545
 40  4,446  502  8,856
 media  4,41685  513,6  8,6004
 50  4,633  617  7,509
 50  4,683  624  7,504
 50  4,697  622  7,551
 50  4,692  623  7,531
 50  4,701  620  7,582
 50  4,696  623  7,538
 50  4,672  621  7,523
 50  4,681  614  7,623
 50  4,588  619  7,411
 50  4,672  621  7,524
 50  4,7  617  7,618
 50  4,683  623  7,517
 50  4,704  622  7,563
 50  4,661  610  7,641
 50  4,693  619  7,582
 50  4,701  618  7,608
 50  4,701  623  7,546
 50  4,686  617  7,595
 50  4,689  624  7,514
 50  4,686  620  7,558
 media  4,68095  619,85  7,5519
 60  4,822  730  6,606
 60  4,864  728  6,681
 60  4,753  730  6,511
 60  4,867  727  6,694
 60  4,874  727  6,705
 60  4,882  727  6,715
 60  4,841  729  6,64
 60  4,824  732  6,59
 60  4,851  707  6,861
 60  4,786  726  6,593
 60  4,877  705  6,918
 60  4,881  727  6,714
 60  4,88  728  6,703
 60  4,836  729  6,633
 60  4,867  727  6,695
 60  4,859  731  6,648
 60  4,863  728  6,68
 60  4,834  727  6,649
 60  4,823  730  6,607
 60  4,801  727  6,604
 media  4,84425  726,1  6,67235
 70  4,898  830  5,901
 70  4,875  834  5,845
 70  4,914  827  5,941
 70  4,905  830  5,91
 70  4,939  835  5,915
 70  4,937  808  6,111
 70  4,93  833  5,919
 70  4,933  818  6,031
 70  4,925  833  5,912
 70  4,915  830  5,921
 70  4,926  819  6,015
 70  4,923  831  5,924
 70  4,931  833  5,919
 70  4,956  835  5,935
 70  4,941  834  5,924
 70  4,935  834  5,918
 70  4,913  833  5,898
 70  4,933  832  5,929
 70  4,943  830  5,956
 70  4,929  833  5,917
 media  4,92505  829,6  5,93705
 80  4,935  943  5,234
 80  4,946  943  5,245
 80  4,939  942  5,243
 80  4,941  938  5,267
 80  4,962  937  5,295
 80  4,953  942  5,258
 80  4,961  942  5,267
 80  4,971  933  5,327
 80  4,968  943  5,269
 80  4,959  940  5,275
 80  4,984  917  5,435
 80  4,975  943  5,276
 80  4,982  944  5,278
 80  4,982  943  5,283
 80  4,956  940  5,272
 80  4,901  940  5,214
 80  4,924  942  5,227
 80  4,962  938  5,289
 80  4,959  943  5,259
 80  4,949  941  5,26
 media  4,95545  939,7  5,27365
 90  4,981  1030  4,836
 90  4,995  1030  4,85
 90  5,001  1030  4,856
 90  4,974  1031  4,825
 90  4,985  1029  4,845
 90  4,983  1031  4,833
 90  5,001  1032  4,846
 90  5,001  1033  4,842
 90  4,96  1031  4,81
 90  4,979  1031  4,829
 90  4,993  994  5,023
 90  5,005  1044  4,794
 90  4,993  1027  4,862
 90  4,989  1033  4,83
 90  4,993  1032  4,838
 90  4,999  1034  4,835
 90  4,973  1032  4,819
 90  4,977  1017  4,894
 90  4,981  1029  4,841
 90  4,994  1030  4,849
 media  4,98785  1029  4,84785
 100  4,999  1102  4,536
 100  4,99  1098  4,545
 100  4,987  1091  4,571
 100  5,001  1099  4,55
 100  5,002  1100  4,548
 100  5,003  1103  4,536
 100  4,99  1098  4,545
 100  4,996  1096  4,559
 100  4,995  1072  4,66
 100  5,005  1095  4,571
 100  5,002  1096  4,564
 100  5,012  1091  4,594
 100  5,008  1084  4,62
 100  5,014  1100  4,558
 100  4,996  1105  4,521
 100  5,001  1101  4,543
 100  5,006  1100  4,551
 100  4,987  1099  4,537
 100  4,999  1090  4,586
 100  5,015  1103  4,547
 media  5,0004  1096,15  4,5621
