ALFA	BETA	THRP	DELAY	POWER
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.700	755.000	6.225
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.700	755.000	6.225
0.40	0.40	4.688	808.000	5.802
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.700	755.000	6.225
0.40	0.40	4.688	808.000	5.802
0.55	0.55	4.659	938.000	4.967
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.700	755.000	6.225
0.40	0.40	4.688	808.000	5.802
0.55	0.55	4.659	938.000	4.967
0.70	0.70	4.736	954.000	4.964
0.25	0.25	4.538	657.000	6.907
0.25	0.25	4.700	755.000	6.225
0.40	0.40	4.688	808.000	5.802
0.55	0.55	4.659	938.000	4.967
0.70	0.70	4.736	954.000	4.964
0.85	0.85	5.031	10099.000	0.498
