Janela .......: 16 	Throughput ...: 4.67 	Delay ........: 605 	T / D ........: .00771 
Janela .......: 20 	Throughput ...: 4.62 	Delay ........: 590 	T / D ........: .00783 
Janela .......: 25 	Throughput ...: 4.68 	Delay ........: 595 	T / D ........: .00786 
Janela .......: 30 	Throughput ...: 4.65 	Delay ........: 605 	T / D ........: .00768 
Janela .......: 30 	Throughput ...: 4.63 	Delay ........: 600 	T / D ........: .00771 
Janela .......: 21 	Throughput ...: 4.63 	Delay ........: 604 	T / D ........: .00766 
Janela .......: 22 	Throughput ...:  	Delay ........:  	T / D ........:  
Janela .......: 22 	Throughput ...: 4.65 	Delay ........: 593 	T / D ........: .00784 
Janela .......: 23 	Throughput ...: 4.65 	Delay ........: 605 	T / D ........: .00768 
Janela .......: 24 	Throughput ...: 4.60 	Delay ........: 600 	T / D ........: .00766 
Janela .......: 23.6 	Throughput ...: 4.70 	Delay ........: 598 	T / D ........: .00785 
Janela .......: 23.8 	Throughput ...: 4.66 	Delay ........: 599 	T / D ........: .00777 
Janela .......: 23.9 	Throughput ...: 4.65 	Delay ........: 600 	T / D ........: .00775 
Janela .......: 22 	Throughput ...: 4.64 	Delay ........: 599 	T / D ........: .00774 
Janela .......: 23 	Throughput ...: 4.66 	Delay ........: 602 	T / D ........: .00774 
Janela .......: 55 	Throughput ...: 4.67 	Delay ........: 603 	T / D ........: .00774 
Janela .......: 65 	Throughput ...: 4.63 	Delay ........: 605 	T / D ........: 7.65000 
Janela .......: 44 	Throughput ...: 4.65 	Delay ........: 600 	T / D ........: 7.75000 
Janela .......: 223 	Throughput ...: 4.64 	Delay ........: 601 	T / D ........: 7.72000 
Janela .......: 1230 	Throughput ...: 4.69 	Delay ........: 604 	T / D ........: 7.76000 
Janela .......: 6 	Throughput ...: with 	Delay ........:  	T / D ........:  
Janela .......: 6 	Throughput ...: 4.63 	Delay ........: 606 	T / D ........: 7.64000 
Janela .......: 22 	Throughput ...: 4.62 	Delay ........: 603 	T / D ........: 7.66000 
Janela .......: 22 	Throughput ...: 4.66 	Delay ........: 597 	T / D ........: 7.80000 
Janela .......: 22 	Throughput ...: 4.66 	Delay ........: 604 	T / D ........: 7.71000 
Janela .......: 22 	Throughput ...: 4.64 	Delay ........: 604 	T / D ........: 7.68000 
Janela .......: 22 	Throughput ...: 4.63 	Delay ........: 602 	T / D ........: 7.69000 
Janela .......: 16 	Throughput ...: 4.58 	Delay ........: 604 	T / D ........: 7.58000 
Janela .......: 16 	Throughput ...: 4.58 	Delay ........: 604 	T / D ........: 7.58000 
Janela .......: 16 	Throughput ...: 4.68 	Delay ........: 599 	T / D ........: 7.81000 
Janela .......: 16 	Throughput ...: 4.68 	Delay ........: 599 	T / D ........: 7.81000 
Janela .......: 20 	Throughput ...: 4.67 	Delay ........: 599 	T / D ........: 7.79000 
Janela .......: 25 	Throughput ...: 4.65 	Delay ........: 602 	T / D ........: 7.72000 
Janela .......: 25 	Throughput ...: with 	Delay ........:  	T / D ........:  
Janela .......: 1 	Throughput ...: 4.66 	Delay ........: 621 	T / D ........: 7.50000 
Janela .......: 32000 	Throughput ...: 4.64 	Delay ........: 587 	T / D ........: 7.90000 
Janela .......: 65534 	Throughput ...: 4.61 	Delay ........: 602 	T / D ........: 7.65000 
Janela .......: 23 	Throughput ...: 4.96 	Delay ........: 625 	T / D ........: 7.93000 
Janela .......: 23 	Throughput ...: 4.96 	Delay ........: 625 	T / D ........: 7.93000 
Janela .......: 16 	Throughput ...: 4.67 	Delay ........: 605 	T / D ........: .00771 
Janela .......: 20 	Throughput ...: 4.62 	Delay ........: 590 	T / D ........: .00783 
Janela .......: 25 	Throughput ...: 4.68 	Delay ........: 595 	T / D ........: .00786 
Janela .......: 30 	Throughput ...: 4.65 	Delay ........: 605 	T / D ........: .00768 
Janela .......: 30 	Throughput ...: 4.63 	Delay ........: 600 	T / D ........: .00771 
Janela .......: 21 	Throughput ...: 4.63 	Delay ........: 604 	T / D ........: .00766 
Janela .......: 22 	Throughput ...:  	Delay ........:  	T / D ........:  
Janela .......: 22 	Throughput ...: 4.65 	Delay ........: 593 	T / D ........: .00784 
Janela .......: 23 	Throughput ...: 4.65 	Delay ........: 605 	T / D ........: .00768 
Janela .......: 24 	Throughput ...: 4.60 	Delay ........: 600 	T / D ........: .00766 
Janela .......: 23.6 	Throughput ...: 4.70 	Delay ........: 598 	T / D ........: .00785 
Janela .......: 23.8 	Throughput ...: 4.66 	Delay ........: 599 	T / D ........: .00777 
Janela .......: 23.9 	Throughput ...: 4.65 	Delay ........: 600 	T / D ........: .00775 
Janela .......: 22 	Throughput ...: 4.64 	Delay ........: 599 	T / D ........: .00774 
Janela .......: 23 	Throughput ...: 4.66 	Delay ........: 602 	T / D ........: .00774 
Janela .......: 55 	Throughput ...: 4.67 	Delay ........: 603 	T / D ........: .00774 
Janela .......: 65 	Throughput ...: 4.63 	Delay ........: 605 	T / D ........: 7.65000 
Janela .......: 44 	Throughput ...: 4.65 	Delay ........: 600 	T / D ........: 7.75000 
Janela .......: 223 	Throughput ...: 4.64 	Delay ........: 601 	T / D ........: 7.72000 
Janela .......: 1230 	Throughput ...: 4.69 	Delay ........: 604 	T / D ........: 7.76000 
Janela .......: 6 	Throughput ...: with 	Delay ........:  	T / D ........:  
