Janela .......: 1 	Throughput ...: 1.12 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.15 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.07000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.21000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 121 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 129 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 130 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 132 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 1 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
Janela .......: 10 	Throughput ...: 1.16 	Delay ........: 1320 	T / D ........: 10.31000 
